match_type,pattern,category,priority,note
contains,blush,emotion,100,赤面系
contains,embarrass,emotion,100,羞恥
contains,shy,emotion,100,内気
contains,bashful,emotion,100,恥じらい
contains,cry,emotion,100,泣き
contains,tear,emotion,100,涙
contains,sob,emotion,100,号泣
contains,sad,emotion,95,悲しみ
contains,melanchol,emotion,95,憂鬱
contains,depress,emotion,95,落ち込み
contains,angry,emotion,100,怒り
contains,furious,emotion,100,激怒
contains,annoy,emotion,95,苛立ち
contains,irritat,emotion,95,苛立ち
contains,pout,emotion,95,拗ね
contains,surpris,emotion,100,驚き
contains,shock,emotion,100,驚愕
contains,startl,emotion,100,驚き
contains,scared,emotion,100,恐れ
contains,afraid,emotion,100,恐れ
contains,nervous,emotion,100,緊張
contains,worried,emotion,100,心配
contains,uneasy,emotion,95,不安
contains,confused,emotion,95,困惑
contains,puzzled,emotion,95,困惑
contains,thinking,emotion,85,思案
contains,smile,emotion,100,笑顔
contains,grin,emotion,95,笑顔
contains,happy,emotion,95,喜び
contains,laugh,emotion,95,笑い
contains,giggle,emotion,95,笑い
contains,excite,emotion,90,興奮
contains,delight,emotion,90,喜び
contains,joy,emotion,90,喜び
contains,cheerful,emotion,90,明るさ
contains,relax,emotion,85,落ち着き
contains,calm,emotion,85,落ち着き
contains,sleepy,emotion,85,眠気
contains,tired,emotion,85,疲労
contains,determined,emotion,85,決意
contains,serious,emotion,85,真剣
contains,focused,emotion,85,集中
contains,smug,emotion,85,得意げ
contains,confident,emotion,85,自信
contains,proud,emotion,85,誇らしさ
suffix,_hair,appearance,100,髪型髪色
suffix,_eyes,appearance,100,目色
suffix,_skin,appearance,95,肌
suffix,_braid,appearance,90,編み髪
suffix,_tail,appearance,85,しっぽ系
contains,glasses,appearance,95,眼鏡
contains,fang,appearance,90,八重歯
contains,freckle,appearance,90,そばかす
contains,tattoo,appearance,90,刺青
contains,scar,appearance,90,傷
contains,animal_ears,appearance,100,獣耳
suffix,_ears,appearance,75,耳系
contains,horns,appearance,90,角
contains,halo,appearance,90,輪
contains,wings,appearance,90,翼
contains,standing,pose,100,立ち
contains,sitting,pose,100,座り
contains,kneeling,pose,100,膝立ち
contains,lying,pose,100,寝そべり
contains,leaning,pose,90,寄りかかり
contains,arms_crossed,pose,100,腕組み
contains,hands_on_hips,pose,100,腰手
contains,hands_together,pose,100,手を合わせる
contains,hand_on_own_chest,pose,95,胸に手
contains,hand_on_face,pose,95,顔に手
contains,covering_face,pose,95,顔を覆う
prefix,looking_,pose,90,視線方向
contains,running,pose,90,走る
contains,jumping,pose,90,跳ぶ
contains,walking,pose,90,歩く
contains,peace_sign,pose,85,ピース
contains,thumbs_up,pose,85,親指
contains,salute,pose,85,敬礼
contains,close-up,composition,100,寄り
contains,portrait,composition,95,ポートレート
suffix,_shot,composition,95,ショット系
contains,upper_body,composition,95,上半身
contains,full_body,composition,95,全身
prefix,from_,composition,95,視点方向
contains,back_view,composition,95,背面
contains,three-quarter_view,composition,90,斜め視点
contains,wide_shot,composition,90,広角
contains,dynamic_angle,composition,90,動的構図
contains,depth_of_field,composition,85,被写界深度
contains,blurry_background,composition,85,背景ボケ
contains,indoors,background,100,屋内
contains,outdoors,background,100,屋外
contains,classroom,background,100,教室
contains,bedroom,background,95,寝室
contains,street,background,95,通り
contains,city,background,90,街
contains,sky,background,90,空
contains,night,background,85,夜
contains,sunset,background,85,夕景
contains,forest,background,90,森
contains,beach,background,90,海辺
contains,water,background,80,水辺
