key,count,japanese
kancolle,425,艦隊これくしょん
fate,391,Fate
azur_lane,344,アズールレーン
blue_archive,280,ブルーアーカイブ
arknights,276,アークナイツ
pokemon,205,ポケモン
fire_emblem,171,ファイアーエムブレム
genshin_impact,155,原神
girls'_frontline,150,少女前線
umamusume,148,ウマ娘
series,134,シリーズ
kemono_friends,109,けものフレンズ
1st_costume,93,初期衣装
granblue_fantasy,88,グランブルーファンタジー
nikke,74,NIKKE
honkai:_star_rail,68,崩壊：スターレイル
league_of_legends,52,リーグ・オブ・レジェンド
meme,50,ネタ
girls_und_panzer,46,ガールズ&パンツァー
princess_connect!,45,プリンセスコネクト！
touhou,42,東方
vocaloid,42,ボーカロイド
idolmaster,39,アイドルマスター
pgr,37,パルミラグレイ
style,36,スタイル
swimsuit,35,水着
reverse:1999,33,Reverse:1999
cookie,32,クッキー
splatoon,31,スプラトゥーン
project_moon,27,プロジェクトムーン
xenoblade,26,ゼノブレイド
honkai_impact,26,崩壊3rd
mega_man,26,ロックマン
senran_kagura,26,閃乱カグラ
chainsaw_man,25,チェンソーマン
new_year,25,正月
vtuber,24,VTuber
swimsuit_mode,22,水着モード
female,21,女性
one_piece,21,ワンピース
wuthering_waves,20,鳴潮
character,20,キャラクター
object,18,オブジェクト
overwatch,18,オーバーウォッチ
casual,18,カジュアル
flower,17,花
final_fantasy,17,ファイナルファンタジー
sousou_no_frieren,16,葬送のフリーレン
queen's_blade,16,クイーンズブレイド
sao,15,ソードアート・オンライン
food,15,食べ物
skullgirls,15,スカルガールズ
ragnarok_online,15,ラグナロクオンライン
constellation,15,星座
dragon_ball,14,ドラゴンボール
hetalia,14,ヘタリア
male,13,男性
hololive,13,ホロライブ
zenless_zone_zero,13,ゼンレスゾーンゼロ
neptunia,13,ネプテューヌ
street_fighter,13,ストリートファイター
warship_girls_r,13,戦艦少女R
tales,13,テイルズ
last_origin,13,ラストオリジン
apex_legends,12,Apex Legends
game,12,ゲーム
yu-gi-oh!,12,遊戯王
weapon,11,武器
guilty_gear,11,ギルティギア
zelda,11,ゼルダの伝説
helltaker,11,ヘルテイカー
naruto,11,ナルト
anime,10,アニメ
project_sekai,10,プロジェクトセカイ
nijisanji,10,にじさんじ
ff14,9,ファイナルファンタジーXIV
dress,9,ドレス
omori,9,OMORI
hololive_summer_2019,9,ホロライブサマー2019
project_voltage,9,プロジェクトボルテージ
monster_girl_encyclopedia,9,モンスター娘のいる日常
p&d,9,パズル&ドラゴンズ
girls'_frontline_2,9,少女前線2
re:zero,8,Re:ゼロから始める異世界生活
konosuba,8,この素晴らしい世界に祝福を!
manga,8,漫画
persona,8,ペルソナ
swimsuit_archer,8,水着アーチャー
umineko,8,うみねこのなく頃に
disney,8,ディズニー
school_uniform,8,学生服
elsword,8,エルソード
boku_no_hero_academia,8,僕のヒーローアカデミア
path_to_nowhere,8,パス・トゥ・ノーウェア
sekaiju,8,世界樹
psg,7,パズル&ドラゴンズ ストレンジ ゴールド
darling_in_the_franxx,7,ダーリング・イン・ザ・フランキス
swimsuit_lancer,7,水着ランサー
company,7,企業
disgaea,7,魔界戦記ディスガイア
maid,7,メイド
kof,7,ザ・キング・オブ・ファイターズ
nanoha,7,魔法少女リリカルなのは
kingdom_hearts,7,キングダム ハーツ
shingeki_no_bahamut,7,神撃のバハムート
tf2,7,チーム フォートレス 2
2nd_costume,7,2番目衣装
animal,6,動物
bunny,6,ウサギ
swimsuit_berserker,6,水着バーサーカー
jojo,6,ジョジョの奇妙な冒険
elden_ring,6,エルデンリング
mario,6,マリオ
